chemise,chat,chapeau,chanson
thème,thé,théorie,enthousiasme
agneau,ligne,enseignement,champagne
célèbre,cinq,ciel,cerveau
cahier,calme,curieux,coupable
travaille,famille,fille,feuille
bleu,jeu,heureux,dangereux
nous,journal,jour,toujours
oiseau,oui,poison,fois
faim,train,bain,main
enfant,étudiant,intelligent,station
beau,tableau,eau,bateau
avion,la,madame,safari
bébé,branche,bonbon,boisson
danser,donner,délicieux,derrière
effet,efficace,être,espagnol
élégant,école,épouse,élève
femme,facile,fermier,fantastique
gilet,génial,gaz,gouvernement
hockey,hibou,horaire,huit
ici,idée,idéaliste,impatient
jeune,jaloux,jamais,jaune
kangourou,karaté,klaxon,ketchup
lait,langage,leçon,lien
maman,méchant,modeste,mignon
nager,napperon,négation,noisette
obliger,occupé,œil,ombre
pouvoir,pain,pantalon,piquet
que,quatre,quand,quelquefois
rouge,rapide,recevoir,récéptionniste
sortir,saint,samedi,salle
table,téléphone,talons,ton
utiliser,uniforme,urgent,usine
vacances,vedette,végétarien,voilà
wagon,week-end,western,wagon-lit
xénophobie,xylophone,xénophobe,xénon
yoga,yogourt,yeux,Yougoslavie
zèbre,zéro,zinc,zoo
chien,chose,choix,chariot
théâtre,thérapiste,théoriser,théologie
assigner,bretagne,chignon,peigne
central,certain,cerise,cesser
cacao,cassette,culture,conjuguer
bataille,chenille,ville,tranquille
douceur,douleur,chauffeur,professeur
boutique,douche,souris,sourire
au revoir,boire,doigt,droit
aimable,aimant,vraiment,écrivain
année,seconde,ouragan,déjeuner
couteau,morceau,lapineau,cadeau
agréable,amant,améliorer,amitié
bavarder,balai,bénévole,bête
déblayer,danse,demeure,dentifrice
emballer,enfin,enquête,exprimer
épuisé,église,égal,écraser
fesse,fiable,film,fleur
gâteau,geler,gérant,goûter
haricot,humide,hiver,honte
informatique,interdit,imperméable,incroyable
juillet,jupiter,jus,jambon
lâche,lampe,lapin,lavabo
maillot,maquillage,marché,mêler
nécessaire,neige,niveau,nounours
ordinateur,orteil,orgueil,outil
pamplemousse,papier,parfois,parole
quoi,qui,quel,quart
raser,ravi,recu,remplacer
satisfait,sportif,sable,serpent
tabac,tante,tapis,tasse
unique,urgence,univers,ultime
vache,vanille,vélo,vendredi
champignon,chemie,chaussure,chaussette
thon,thésaurus,théâtralité,thermomètre
signe,oignon,éloigné,cligner
citron,menace,indice,glace
