aller,to go,vais,vas,va,allons,allez,vont
avoir,to have,ai,as,a,avons,avez,ont
boire,to drink,bois,bois,boit,buvons,buvez,boivent
connaître,to know s/o,connais,connais,connaît,connaissons,connaissez,connaissent
conduire,to drive,conduis,conduis,conduit,conduisons,conduisez,conduisent
courir,to run,cours,cours,court,courons,courez,courent
croire,to believe,crois,crois,croit,croyons,croyez,croient
devoir,"to have to, must",dois,dois,doit,devons,devez,doivent
dire,to say ,dis,dis,dit,disons,dites,disent
écrire,to write,écris,écris,écrit,écrivons,écrivez,écrivent
être,to be ,suis,es,est,sommes,êtes,sont
faire,"to do, make",fais,fais,fait,faisons,faites,font
lire,to read ,lis,lis,lit,lisons,lisez,lisent
mettre,to put,mets,mets,met,mettons,mettez,mettent
mourir,to die,meurs,meurs,meurt,mourons,mourez,meurent
ouvrir,to open,ouvre,ouvres,ouvre,ouvrons,ouvrez,ouvrent
partir,to leave,pars,pars,part,partons,partez,partent
prendre,to take,prends,prends,prend,prenons,prenez,prennent
pouvoir,"to be able to, can",peux,peux,peut,pouvons,pouvez,peuvent
recevoir,to receive,reçois,reçois,reçoit,recevons,recevez,reçoivent
savoir,to know s/t,sais,sais,sait,savons,savez,savent
sentir,to smell,sens,sens,sent,sentons,sentez,sentent
servir,to serve,sers,sers,sert,servons,servez,servent
sortir,to exit,sors,sors,sort,sortons,sortez,sortent
suivre,to follow,suis,suis,suit,suivons,suivez,suivent
tenir,to hold,tiens,tiens,tient,tenons,tenez,tiennent
venir,to come,viens,viens,vient,venons,venez,viennent
voir,to see,vois,vois,voit,voyons,voyez,voient
vouloir,to want,veux,veux,veut,voulons,voulez,veulent
